00001,654,37.782551,-122.445368
00002,382,37.800224,-122.433520
00003,359,37.784345,-122.422922
00004,521,37.780666,-122.390374
00005,230,37.779448,-122.438702
00006,64,37.797847,-122.429388
00007,968,37.766104,-122.409291
00008,52,37.773187,-122.421922
00009,305,37.790859,-122.402808
00010,1261,37.782651,-122.400628
00011,546,37.803986,-122.426035
00012,1397,37.795656,-122.400395
00013,599,37.778738,-122.415584
00014,315,37.765769,-122.407201
00015,1036,37.782012,-122.404200
00016,845,37.786237,-122.401006
00017,349,37.770015,-122.422386
00018,357,37.789648,-122.412077
00019,482,37.790895,-122.417392
00020,170,37.797036,-122.405632
00021,272,37.786077,-122.412852
00022,279,37.781713,-122.423327
00023,369,37.782268,-122.432470
00024,408,37.771139,-122.408305
00025,45,37.777220,-122.394735
00026,425,37.791324,-122.422464
00027,66,37.781642,-122.390282
00028,619,37.791660,-122.417559
00029,1237,37.766333,-122.402046
00030,1354,37.787769,-122.399580
00031,978,37.774975,-122.413270
00032,195,37.791842,-122.416712
00033,244,37.795722,-122.423675
00034,368,37.770746,-122.412642
00035,540,37.794336,-122.418095
00036,82,37.771233,-122.408811
00037,363,37.784542,-122.395549
00038,960,37.771276,-122.411758
00039,449,37.796449,-122.397026
00040,437,37.785713,-122.416479
00041,386,37.789596,-122.425552
00042,252,37.775321,-122.413403
00043,1258,37.775987,-122.403549
00044,205,37.791895,-122.409577
00045,555,37.781994,-122.392047
00046,206,37.774186,-122.401893
00047,500,37.783883,-122.402090
00048,963,37.798570,-122.398724
00049,1090,37.778760,-122.414728
00050,1098,37.759498,-122.412605
00051,1081,37.772641,-122.407151
00052,394,37.796529,-122.403555
00053,329,37.789530,-122.422114
00054,867,37.780775,-122.409052
00055,161,37.785421,-122.393860
00056,319,37.765439,-122.413220
00057,945,37.785371,-122.400135
00058,389,37.778404,-122.405397
00059,994,37.785700,-122.422285
00060,1208,37.784995,-122.427399
00061,911,37.783026,-122.447260
00062,532,37.792433,-122.409754
00063,568,37.776837,-122.410165
00064,343,37.783023,-122.409448
00065,394,37.804293,-122.413368
00066,1148,37.731511,-122.426137
00067,1381,37.777529,-122.404292
00068,1190,37.778111,-122.420673
00069,1290,37.773494,-122.454469
00070,63,37.789470,-122.428933
00071,1188,37.774910,-122.454264
00072,470,37.793004,-122.393026
00073,1156,37.777021,-122.392963
00074,1219,37.773585,-122.411811
00075,395,37.800418,-122.436116
00076,504,37.774898,-122.431055
00077,1069,37.788597,-122.413274
00078,1094,37.783840,-122.416178
00079,548,37.784124,-122.433697
00080,380,37.795754,-122.438702
00081,320,37.797592,-122.408882
00082,340,37.773111,-122.437609
00083,1257,37.766042,-122.402195
00084,149,37.782109,-122.407182
00085,387,37.785963,-122.419248
00086,98,37.773993,-122.400017
00087,39,37.773148,-122.413456
00088,1411,37.779112,-122.393033
00089,213,37.743816,-122.424997
00090,1333,37.740964,-122.388345
00091,1043,37.775292,-122.422199
00092,965,37.781876,-122.401415
00093,943,37.794638,-122.409612
00094,100,37.786860,-122.419952
00095,1267,37.789761,-122.395874
00096,1025,37.780271,-122.412172
00097,1028,37.795047,-122.401580
00098,1050,37.769990,-122.413175
00099,1009,37.774747,-122.401226
00100,1117,37.787702,-122.413634
00101,183,37.790500,-122.405633
00102,118,37.789025,-122.388021
00103,328,37.774765,-122.419009
00104,537,37.784537,-122.404406
00105,335,37.768172,-122.422900
00106,997,37.782522,-122.406038
00107,1405,37.778051,-122.393608
00108,134,37.787061,-122.400020
00109,1266,37.775988,-122.414498
00110,1128,37.791201,-122.407814
00111,149,37.798344,-122.425785
00112,1404,37.788732,-122.400901
00113,68,37.801588,-122.424491
00114,1004,37.771764,-122.406244
00115,994,37.781310,-122.395585
00116,258,37.789399,-122.430116
00117,95,37.795188,-122.427561
00118,131,37.749453,-122.405673
00119,112,37.798076,-122.435185
00120,443,37.788676,-122.421908
00121,219,37.788789,-122.426651
00122,1009,37.770539,-122.439604
